Symbol	Description
CDE	Codeifai Limited
CDM	Cadence Capital Ltd
CDO	Colorado Group Ltd
CDP	Carindale Property Trust
CDR	Commander Communications Ltd
CDRO	Codrus Minerals Limited
CDT	Castle Minerals Ltd
CDTOA	CDTOA
CDTOB	CDTOB
CDX	CDS Technologies Ltd
CDXOA	CDXOA
CE1	Calima Energy Limited
CEH	China Education Ltd
CEL	CEL
CEN	Central Australian Phosphate Limited
CETF	Vaneck Vectors Chinaamc A-share?
CF1	Complii Fintech Solutions Ltd
CFLO	CFLO
CFO	Cfoam Limited
CG1	Carbonxt Group Limited
CGF	Challenger Financial Services Group
CGFKOB	Challenger Limited
CGFKOC	Challenger Limited
CGFKOE	Challenger Limited
CGFKOP	Challenger Limited
CGFKOR	Challenger Limited
CGFKOS	Challenger Limited
CGFPC	CGFPC
CGFPD	CGFPD
CGO	CPT Global Ltd
CGR	Careers Multilist Limited
CGS	Cogstate Ltd
CGUN	CGUN
CHC	Charter Hall Group
CHCKOA	Charter Hall Group
CHCKOC	Charter Hall Group
CHCKOD	Charter Hall Group
CHCKOQ	Charter Hall Group
CHCKOS	CHCKOS
CHCKOT	Charter Hall Group
CHL	CCI Holdings Ltd
CHM	Chameleon Mining NL
CHN	Chalice Gold Mines Ltd
CHNKOA	CHNKOA
CHNKOP	CHNKOP
CHR	Chalmers Ltd
CHW	Chilwa Minerals Ltd
CI1	Credit Intelligence Ltd
CIA	Champion Iron Limited
CIAKOA	CIAKOA
CIAKOB	CIAKOB
CIAKOC	CIAKOC
CIAKOD	CIAKOD
CIAKOP	CIAKOP
CIAKOQ	CIAKOQ
CIN	Carlton Investments Ltd
CINPA	Carlton Investments PA
CIO	Connected Io Limited
CIP	Centuria Industrial Reit
CIW	Clime Investment Management Ltd
CKA	Cokal Limited
CKF	Collins Foods Limited
CKFKOA	Collins Foods Limited
CKFKOB	CKFKOB
CKFKOC	CKFKOC
CL8	Collaborate Corporation Limited
CL8O	Collaborate Corporation Limited
CLA	Celsius Coal Limited
CLE	Clearwater Group Ltd
CLG	Close The Loop Ltd.
CLU	Cloncurry Metals Ltd
CLV	Clover Corporation Ltd
CLW	Charter Hall Long Wale Reit
CLX	CTI Logistics Ltd
CLZ	Classic Minerals Ltd
CMB	Cambium Bio Limited
CMD	Cassius Mining Limited
CMG	Commonwealth Installment Receipts Trst
CMM	Capricorn Metals Ltd
CMMKOA	Capricorn Metals Ltd
CMMKOD	CMMKOD
CMO	CommodiTel Ltd
CMOO	CMOO
CMP	Compumedics Ltd
CMW	Cromwell Corporation Ltd
CMX	Climax Mining Ltd
CMXO	Chemx Materials Limited
CNB	Canberra Investment Corporation Ltd
CND	Candle Australia Ltd
CNDOA	CNDOA
CNI	Centuria Capital Limited
CNJ	Conico Ltd
CNJO	Conico Ltd
CNQ	Carbine Tungsten Limited
CNQO	CNQO
CNU	Chorus Limited
COB	Cobalt Blue Holdings Limited
COD	Cossack Energy Limited
COE	Cooper Energy Ltd
COF	Coffey International Ltd
COG	Consolidated Operations Group Limited
COH	Cochlear Ltd
COHKOA	Cochlear Limited
COHKOB	Cochlear Limited
COHKOC	Cochlear Limited
COHKOD	Cochlear Limited
COHKOG	Cochlear Limited
COHKOQ	Cochlear Limited
COHKOR	Cochlear Limited
COHKOS	Cochlear Limited
COI	Comet Ridge Ltd
COL	Coles Group Limited.
COLKOB	Coles Group Limited.
COLKOC	Coles Group Limited.
COLKOD	Coles Group Limited.
COLKOE	COLKOE
COLKOF	COLKOF
COS	Cool or Cosy Ltd
COV	Cove Mining NL
COY	Coppermoly Ltd
CPM	Cooper Metals Limited
CPMO	CPMO
CPN	Carpathian Resources Ltd
CPO	Culpeo Minerals Limited
CPOO	CPOO
CPU	Computershare Ltd
CPUKOB	Computershare Limited.
CPUKOC	Computershare Limited.
CPUKOE	Computershare Limited.
CPUKOF	Computershare Limited.
CPUKOP	Computershare Limited.
CPUKOR	Computershare Limited.
CPUKOT	Computershare Limited.
CPV	Clearvue Technologies Limited
CQE	Charter Hall Education Trust
CQEKOA	CQEKOA
CQEKOC	CQEKOC
CQR	Charter Hall Retail Reit
CR1	Constellation Resources Limited
CR9	Corella Resources Ltd
CR9O	CR9O
CRB	Carbine Resources Ltd
CRD	Crown Diamonds NL
CRN	Coronado Global Resources Inc.
CRR	Convenience Retail Reit
CRS	Croesus Mining NL
CRYP	CRYP
CSC	Capstone Copper Corp.
CSE	Copper Strike Ltd
CSF	Centro Shopping American Trust
CSFO	CSFO
CSL	CSL Ltd
CSLKOA	Csl Limited
CSLKOB	Csl Limited
CSLKOC	Csl Limited
CSLKOG	Csl Limited
CSLKOH	Csl Limited
CSLKOI	Csl Limited
CSLKOQ	Csl Limited
CSLKOS	Csl Limited
CSLKOT	Csl Limited
CSLKOV	Csl Limited
CSLMOT	Csl Limited
CSR	CSR Ltd
CSS	Clean Seas Tuna Ltd
CST	Cellestis Ltd
CSX	Cleanspace Holdings Limited
CT1	Ccp Technologies Limited
